model,benchmark,lang,shot,accuracy,sd,runs
xglm-1.7B,xsc,sw,4,62.160000000000004,1.0430723848324213,5
xglm-1.7B,xsc,te,0,62.2,,1
xglm-1.7B,xsc,te,4,62.48,0.5215361924162114,5
xglm-1.7B,xsc,zh,0,64.0,,1
xglm-1.7B,xsc,zh,4,63.239999999999995,1.143678276439667,5
xglm-2.9B,encopa,en,0,65.0,,1
xglm-2.9B,encopa,en,4,61.2,1.6431676725154982,5
xglm-2.9B,xcopa,et,0,53.4,,1
xglm-2.9B,xcopa,et,4,58.08,0.9757048734120396,5
xglm-2.9B,xcopa,ht,0,58.6,,1
xglm-2.9B,xcopa,ht,4,56.760000000000005,0.7924645102463558,5
xglm-2.9B,xcopa,id,0,62.2,,1
xglm-2.9B,xcopa,id,4,63.2,1.3928388277184147,5
xglm-2.9B,xcopa,it,0,56.8,,1
xglm-2.9B,xcopa,it,4,60.32000000000001,0.9121403400793122,5
xglm-2.9B,xcopa,qu,0,48.4,,1
xglm-2.9B,xcopa,qu,4,47.839999999999996,0.8988882021697698,5
xglm-2.9B,xcopa,sw,0,56.4,,1
xglm-2.9B,xcopa,sw,4,58.32000000000001,1.2617448236470012,5
xglm-2.9B,xcopa,ta,0,56.0,,1
xglm-2.9B,xcopa,ta,4,56.92,0.41472882706655484,5
xglm-2.9B,xcopa,th,0,55.0,,1
xglm-2.9B,xcopa,th,4,56.120000000000005,1.5336231610144637,5
xglm-2.9B,xcopa,tr,0,52.8,,1
xglm-2.9B,xcopa,tr,4,54.6,1.2727922061357824,5
xglm-2.9B,xcopa,vi,0,56.4,,1
xglm-2.9B,xcopa,vi,4,60.08,1.972815247305232,5
xglm-2.9B,xcopa,zh,0,54.4,,1
xglm-2.9B,xcopa,zh,4,58.04,1.4587666023048398,5
xglm-2.9B,xsc,ar,0,61.6,,1
xglm-2.9B,xsc,ar,4,59.879999999999995,0.641872261435248,5
xglm-2.9B,xsc,es,0,67.2,,1
xglm-2.9B,xsc,es,4,63.56,1.3957077057894305,5
xglm-2.9B,xsc,eu,0,62.8,,1
xglm-2.9B,xsc,eu,4,59.52,0.7563068160475643,5
xglm-2.9B,xsc,hi,0,61.2,,1
xglm-2.9B,xsc,hi,4,60.67999999999999,0.9338094023943008,5
xglm-2.9B,xsc,id,0,64.8,,1
xglm-2.9B,xsc,id,4,65.2,0.663324958071079,5
xglm-2.9B,xsc,my,0,59.6,,1
xglm-2.9B,xsc,my,4,58.720000000000006,0.460434577328855,5
xglm-2.9B,xsc,ru,0,72.8,,1
xglm-2.9B,xsc,ru,4,69.64,1.0899541274751043,5
xglm-2.9B,xsc,sw,0,63.2,,1
xglm-2.9B,xsc,sw,4,64.24,0.6387487769068525,5
xglm-2.9B,xsc,te,0,64.8,,1
xglm-2.9B,xsc,te,4,64.6,0.374165738677394,5
xglm-2.9B,xsc,zh,0,67.4,,1
xglm-2.9B,xsc,zh,4,67.64,0.6066300355241268,5
xglm-564M,encopa,en,0,58.0,,1
xglm-564M,encopa,en,4,58.2,1.6431676725154976,5
xglm-564M,xcopa,et,0,48.8,,1
xglm-564M,xcopa,et,4,50.6,0.7483314773547888,5
xglm-564M,xcopa,ht,0,55.0,,1
xglm-564M,xcopa,ht,4,54.48,0.3633180424916983,5
xglm-564M,xcopa,id,0,57.0,,1
xglm-564M,xcopa,id,4,54.52,0.6723094525588639,5
xglm-564M,xcopa,it,0,48.0,,1
xglm-564M,xcopa,it,4,47.6,0.6633249580710805,5
xglm-564M,xcopa,qu,0,50.8,,1
xglm-564M,xcopa,qu,4,51.48,1.316054710108968,5
